Film,Year,Tomatometer_Critic,Tomatometer_Audience,Tomatometer_Critic_Audience_Gap,IMDB_Critic,IMDB_Audience,IMDB_Critic_Audience_Gap,Nominations_Total,Nomination_SuccessRate,Genre,SideGenre,Picture,Cinematography,Directing,Editing,Screenplay,Acting,Design,Sound
Nomadland,2021,93,82,-11,91,73,-18,6,0.5,Drama,Drama,WON,NOM,WON,NOM,NOM,WON,NNOM,NNOM
Promising Young Woman,2021,90,87,-3,73,75,2,5,0.2,Thriller,Drama/Mystery/Thriller,NOM,NNOM,NOM,NOM,WON,NOM,NNOM,NNOM
Sound of Metal,2021,97,90,-7,82,77,-5,6,0.33333,Music,Drama/Music,NOM,NNOM,NNOM,WON,NOM,NOM,NNOM,WON
The Trial of the Chicago 7,2021,89,90,1,76,77,1,6,0,History,History/Drama,NOM,NOM,NNOM,NOM,NOM,NOM,NNOM,NNOM
Belfast,2022,86,92,6,75,73,-2,7,0.14286,Drama,Drama,NOM,NNOM,NOM,NNOM,WON,NOM,NNOM,NOM
CODA,2022,94,91,-3,72,80,8,3,1,Drama,Drama,WON,NNOM,NNOM,NNOM,WON,WON,NNOM,NNOM
Don't Look Up,2022,56,78,22,49,72,23,4,0,Comedy,Comedy/Drama,NOM,NNOM,NNOM,NOM,NOM,NNOM,NNOM,NNOM
Drive My Car,2022,97,78,-19,91,76,-15,4,0.25,Drama,Drama,NOM,NNOM,NOM,NNOM,NOM,NNOM,NNOM,NNOM
Dune,2022,83,90,7,74,80,6,10,0.6,Sci-Fi,Sci-Fi/Adventure,NOM,WON,NNOM,WON,NOM,NNOM,WON,WON
King Richard,2022,90,98,8,76,75,-1,6,0.16667,Biography,Drama/Biography,NOM,NNOM,NNOM,NOM,NOM,WON,NNOM,NNOM
Licorice Pizza,2022,91,66,-25,90,72,-18,3,0,Comedy,Comedy/Drama,NOM,NNOM,NOM,NNOM,NOM,NNOM,NNOM,NNOM
Nightmare Alley,2022,81,68,-13,70,70,0,4,0,Thriller,Drama/Mystery/Thriller,NOM,NOM,NNOM,NNOM,NNOM,NNOM,NOM,NNOM
The Power of the Dog,2022,94,76,-18,89,68,-21,12,0.08333,Western,Western/Drama,NOM,NOM,WON,NOM,NOM,NOM,NOM,NOM
West Side Story,2022,91,93,2,85,72,-13,7,0.14286,Musical,Musical/Romance,NOM,NOM,NOM,NNOM,NNOM,WON,NOM,NOM
